Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque2.xlsx,Operation,3,( 4 + 7 ) × 2 = 22,right,B,"['j', 'm', 'b']",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.9132363999961,None,right,1,3.8180415999959223,157.9132363999961,None,161.76917640003376,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7720497000264,None,"['j', 'm', 'b']",1,"[1.6734176999889314, 2.0788240000256337, 2.5037675999919884]",162.7720497000264,None,space,3.883072099997662,163.25899840000784,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,3,( 3 + 6 ) × 5 = 43,right,Z,None,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.05813329998637,None,left,0,2.141313000000082,169.05813329998637,None,171.25781420001294,None,,,,,,,,,,,,167.1803858000203,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,3,( 6 - 1 ) × 3 = 19,right,F,None,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55537610000465,None,left,0,1.629058399994392,172.55537610000465,None,174.24706800002605,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,Operation,3,( 4 + 2 ) × 4 = 23,right,T,"['z', 'f', 't']",,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.53553799999645,None,left,0,2.5676108000334352,175.53553799999645,None,178.1516219000332,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.15358500002185,None,"['z', 'f', 't']",1,"[2.0467132999910973, 2.4907608999637887, 2.870277200010605]",179.15358500002185,None,space,3.3449171999818645,179.62768840003991,None,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,4,( 6 + 2 ) × 1 = 8,right,D,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,184.89274819998536,None,right,1,1.7958438000059687,184.89274819998536,None,186.73661860002903,None,,,,,,,,,,,,183.01720589998877,None,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,4,( 4 - 3 ) × 5 = 5,left,V,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,188.0294472000096,None,right,0,2.0560463999863714,188.0294472000096,None,190.13121130003128,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,4,( 3 - 1 ) × 5 = 10,left,M,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,191.43496919999598,None,right,0,1.5979956000228412,191.43496919999598,None,193.0838509000023,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
Bloque1.xlsx,Operation,4,( 6 - 1 ) × 1 = 6,left,P,"['d', 'v', 'm', 'p']",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,194.37021740002092,None,left,1,4.527538900030777,194.37021740002092,None,198.93715760001214,None,,,,,,,,,,,,,,2 (jcm),001,2021_Apr_25_1132,OperationSpanTask,2021.1.2,60.05749903294543,
